danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,popularity,artist_popularity,year,artistFeatured,billboard
0.241,0.162,-14.447,0.035,0.78,4.53E-06,0.153,0.183,171.584,166307,64,0,1991,0,0
0.554,0.816,-7.871,0.0353,0.000526,0.000711,0.0988,0.362,131.409,404240,62,85,1991,0,0
0.588,0.149,-16.728,0.0319,0.846,9.65E-05,0.236,0.113,124.689,332960,67,63,1991,0,0
0.485,0.841,-6.068,0.0307,0.000173,0.00686,0.125,0.551,94.867,311000,65,72,1991,0,0
0.588,0.325,-10.926,0.0374,0.836,1.16E-06,0.127,0.569,126.127,138987,62,0,1991,0,0
0.551,0.384,-13.554,0.106,0.825,0,0.145,0.417,129.283,309133,62,0,1991,0,0
0.663,0.712,-7.268,0.0479,0.524,0,0.0804,0.527,113.439,236520,61,92,1991,0,0
0.567,0.512,-8.831,0.0357,0.547,0,0.296,0.334,130.269,252613,71,59,1991,0,0
0.402,0.817,-3.756,0.0406,0.317,0,0.105,0.376,177.342,227920,60,60,1991,0,0
0.456,0.59,-8.638,0.0327,0.00182,0.00379,0.104,0.243,124.635,283733,75,83,1991,0,0
0.681,0.83,-6.088,0.0271,0.0149,0.00376,0.214,0.817,103.777,250133,72,72,1991,1,0
0.627,0.697,-6.61,0.0266,0.218,0,0.0733,0.933,154.086,177987,61,52,1991,0,0
0.666,0.531,-9.881,0.0521,0.117,1.39E-06,0.039,0.551,137.17,356960,59,54,1991,0,0
0.325,0.929,-5.625,0.0695,0.000129,2.22E-06,0.184,0.198,133.358,223880,60,83,1991,0,0
0.881,0.361,-14.728,0.237,0.0502,0.00458,0.246,0.799,96.43,216693,63,71,1991,0,0
0.226,0.136,-19.203,0.0327,0.862,8.07E-06,0.302,0.263,79.37,173267,66,76,1991,0,0
0.306,0.686,-6.928,0.0347,0.414,0,0.112,0.175,83.402,277827,59,92,1991,0,0
0.641,0.637,-10.92,0.0262,0.0495,0.000138,0.267,0.793,147.502,171067,60,75,1991,0,0
0.795,0.64,-13.478,0.0294,0.0631,2.13E-06,0.0692,0.954,102.633,227573,61,63,1991,0,0
0.553,0.398,-11.67,0.0303,0.664,0,0.114,0.392,76.074,229227,61,68,1991,0,0
0.848,0.838,-11.949,0.0723,0.0326,4.63E-06,0.124,0.774,97.735,271067,63,63,1991,0,0
0.336,0.787,-8.803,0.0732,0.0793,0.0648,0.32,0.383,140.003,462093,69,83,1991,0,0
0.262,0.777,-8.671,0.0632,0.0109,0.113,0.12,0.264,152.5,182733,69,83,1991,0,0
0.711,0.951,-8.406,0.0537,0.00189,0.366,0.0229,0.903,121.656,269307,59,48,1991,0,0
0.307,0.917,-7.599,0.0977,1.65E-05,0.00044,0.0566,0.266,101.879,266200,63,72,1991,0,0
0.545,0.905,-10.732,0.0648,0.00164,1.95E-06,0.0532,0.826,103.574,256947,65,62,1991,0,0
0.303,0.108,-27.433,0.0473,0.994,0.877,0.0805,0.18,126.931,188467,67,77,1991,0,0
0.533,0.585,-9.789,0.0337,0.199,0,0.11,0.472,83.403,182280,59,54,1991,0,0
0.741,0.752,-7.009,0.0359,0.0411,0.0012,0.0233,0.942,114.851,248093,64,85,1991,0,0
0.83,0.382,-11.231,0.0566,0.884,0.301,0.11,0.54,121.12,173853,58,83,1991,0,0
0.454,0.318,-14.716,0.0316,0.2,0,0.0644,0.39,135.981,283133,68,72,1991,0,0
0.801,0.548,-5.482,0.0517,0.0854,0.000232,0.387,0.627,92.059,188086,59,74,1991,0,0
0.262,0.969,-4.675,0.0894,3.69E-06,0.00213,0.133,0.263,158.433,184040,58,83,1991,0,0
0.795,0.6,-14.004,0.341,0.112,0.000171,0.111,0.633,101.78,250133,60,71,1991,0,0
0.522,0.886,-12.342,0.07,0.0129,0.21,0.346,0.732,122.607,190840,60,63,1991,0,0
0.551,0.591,-8.404,0.12,0.00549,6.55E-06,0.0416,0.474,201.799,236947,59,0,1991,0,0
0.769,0.675,-13.326,0.0724,0.000722,0.000149,0.0904,0.803,101.884,252240,61,71,1991,0,0
0.572,0.721,-8.959,0.0402,0.187,7.41E-06,0.216,0.844,164.252,267000,71,64,1991,0,0
0.452,0.909,-3.977,0.0366,0.0313,0.0603,0.23,0.805,124.623,225787,72,77,1991,0,0
0.679,0.568,-10.74,0.0423,0.422,0.00948,0.322,0.93,159.689,242640,69,73,1991,0,0
0.427,0.201,-13.044,0.0317,0.745,0.263,0.109,0.0668,105.218,232147,58,83,1991,0,0
0.702,0.901,-4.45,0.0264,0.426,0.00153,0.0368,0.919,97.862,236973,63,62,1991,0,0
0.623,0.936,-9.955,0.0528,0.000617,9.86E-05,0.269,0.705,101.514,217133,65,86,1991,0,0
0.535,0.24,-15.198,0.085,0.92,0,0.111,0.49,128.547,153867,60,76,1991,0,0
0.683,0.265,-12.735,0.0293,0.933,0,0.71,0.647,102.08,149560,57,69,1991,0,0
0.654,0.605,-8.382,0.138,0.872,0,0.165,0.678,107.124,220107,57,0,1991,0,0
0.429,0.789,-4.948,0.0905,0.317,3.40E-05,0.128,0.51,126.746,218320,56,92,1991,0,0
0.723,0.594,-12.013,0.0248,0.237,0,0.147,0.712,105.453,286013,60,73,1991,0,0
0.6,0.811,-7.693,0.0788,0.0558,6.82E-06,0.109,0.622,124.303,196116,59,54,1991,0,0
0.518,0.9,-3.748,0.0933,0.172,0.0315,0.0713,0.872,115.029,254933,67,85,1991,1,0
0.701,0.621,-8.1,0.0563,0.356,0.000622,0.246,0.571,71.672,250933,55,0,1991,0,0
0.674,0.833,-7.625,0.0393,0.00453,0.00574,0.274,0.682,107.991,240293,56,85,1991,0,0
0.671,0.445,-10.042,0.0309,0.437,0,0.121,0.427,141.945,203560,62,60,1991,0,0
0,0.0842,-19.397,0,0.755,0.889,0.262,0,0,432533,63,63,1991,0,0
0.386,0.319,-16.512,0.0332,0.776,0.965,0.106,0.661,157.614,239600,55,76,1991,0,0
0.754,0.424,-8.463,0.0363,0.643,0,0.0652,0.806,119.705,130973,81,70,1992,0,0
0.798,0.744,-5.328,0.136,0.33,0.000106,0.292,0.794,82.356,260000,75,75,1992,0,0
0.466,0.833,-4.215,0.304,0.0266,0,0.0327,0.661,88.785,313573,79,77,1992,0,0
0.389,0.476,-9.342,0.0316,0.619,5.09E-05,0.255,0.566,148.117,217107,75,65,1992,0,0
0.854,0.71,-6.32,0.0793,0.0113,8.72E-05,0.166,0.818,106.894,214947,75,63,1992,0,0
0.526,0.762,-12.437,0.0342,0.000972,0.000116,0.338,0.505,136.203,214400,68,78,1992,0,0
0.565,0.564,-10.044,0.0292,0.161,0,0.114,0.454,134.355,295533,79,66,1992,0,0
0.305,0.832,-7.981,0.0398,0.000332,2.40E-05,0.091,0.585,100.677,206773,73,74,1992,0,0
